algorithm,display_algorithm,frozen_prob,map_id,map_label,seed,episode,success_rate,suite,map_size,oracle_success,holes,oracle_gap,eval_auc,first_episode_success_ge_0p8,suite_label
sarsa,SARSA,0.8,4,p0.80_m4,0,10000,0.68,random8,8x8,1.0,10,0.31999999999999995,0.12,,Random 8x8 long
q_learning,Q-learning,0.8,0,p0.80_m0,0,10000,1.0,random8,8x8,1.0,7,0.0,0.8555,2500.0,Random 8x8 long
sarsa,SARSA,0.8,0,p0.80_m0,0,10000,0.9,random8,8x8,1.0,7,0.09999999999999998,0.694,3500.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.8,0,p0.80_m0,0,10000,0.9,random8,8x8,1.0,7,0.09999999999999998,0.595,6000.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.8,0,p0.80_m0,0,10000,0.96,random8,8x8,1.0,7,0.040000000000000036,0.8275,1500.0,Random 8x8 long
q_lambda,Q(lambda),0.8,0,p0.80_m0,0,10000,0.98,random8,8x8,1.0,7,0.020000000000000018,0.775,3000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.8,0,p0.80_m0,0,10000,1.0,random8,8x8,1.0,7,0.0,0.9485,1000.0,Random 8x8 long
dyna_q,Dyna-Q,0.8,0,p0.80_m0,0,10000,0.88,random8,8x8,1.0,7,0.12,0.8165,2000.0,Random 8x8 long
q_learning,Q-learning,0.8,1,p0.80_m1,0,10000,0.86,random8,8x8,0.9933333333333332,11,0.1333333333333332,0.4085,10000.0,Random 8x8 long
sarsa,SARSA,0.8,1,p0.80_m1,0,10000,0.96,random8,8x8,0.9933333333333332,11,0.033333333333333215,0.67,3500.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.8,1,p0.80_m1,0,10000,0.96,random8,8x8,0.9933333333333332,11,0.033333333333333215,0.429,6500.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.8,1,p0.80_m1,0,10000,0.46,random8,8x8,0.9933333333333332,11,0.5333333333333332,0.6815,3500.0,Random 8x8 long
q_lambda,Q(lambda),0.8,1,p0.80_m1,0,10000,0.98,random8,8x8,0.9933333333333332,11,0.013333333333333197,0.6505,3500.0,Random 8x8 long
optimistic_q,Optimistic Q,0.8,1,p0.80_m1,0,10000,1.0,random8,8x8,0.9933333333333332,11,-0.006666666666666821,0.904,1000.0,Random 8x8 long
dyna_q,Dyna-Q,0.8,1,p0.80_m1,0,10000,0.94,random8,8x8,0.9933333333333332,11,0.05333333333333323,0.7495,1500.0,Random 8x8 long
q_learning,Q-learning,0.85,4,p0.85_m4,0,10000,0.94,random8,8x8,1.0,7,0.06000000000000005,0.4665,7000.0,Random 8x8 long
q_learning,Q-learning,0.8,2,p0.80_m2,0,10000,0.36,random8,8x8,0.94,9,0.58,0.062,,Random 8x8 long
expected_sarsa,Expected SARSA,0.8,2,p0.80_m2,0,10000,0.84,random8,8x8,0.94,9,0.09999999999999998,0.264,10000.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.8,2,p0.80_m2,0,10000,0.02,random8,8x8,0.94,9,0.9199999999999999,0.1455,,Random 8x8 long
q_lambda,Q(lambda),0.8,2,p0.80_m2,0,10000,0.46,random8,8x8,0.94,9,0.4799999999999999,0.0615,,Random 8x8 long
optimistic_q,Optimistic Q,0.8,2,p0.80_m2,0,10000,0.94,random8,8x8,0.94,9,0.0,0.8175,1500.0,Random 8x8 long
q_learning,Q-learning,0.85,0,p0.85_m0,0,10000,0.98,random8,8x8,1.0,3,0.020000000000000018,0.9215,500.0,Random 8x8 long
dyna_q,Dyna-Q,0.8,2,p0.80_m2,0,10000,0.84,random8,8x8,0.94,9,0.09999999999999998,0.544,1500.0,Random 8x8 long
q_learning,Q-learning,0.8,3,p0.80_m3,0,10000,0.66,random8,8x8,0.9966666666666668,8,0.3366666666666668,0.5395,7000.0,Random 8x8 long
sarsa,SARSA,0.8,3,p0.80_m3,0,10000,0.86,random8,8x8,0.9966666666666668,8,0.13666666666666683,0.5475,6000.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.8,3,p0.80_m3,0,10000,0.74,random8,8x8,0.9966666666666668,8,0.2566666666666668,0.3595,8500.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.8,3,p0.80_m3,0,10000,0.98,random8,8x8,0.9966666666666668,8,0.01666666666666683,0.8465,1000.0,Random 8x8 long
q_lambda,Q(lambda),0.8,3,p0.80_m3,0,10000,0.94,random8,8x8,0.9966666666666668,8,0.056666666666666865,0.7735,3000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.8,3,p0.80_m3,0,10000,1.0,random8,8x8,0.9966666666666668,8,-0.0033333333333331883,0.93,1000.0,Random 8x8 long
dyna_q,Dyna-Q,0.8,3,p0.80_m3,0,10000,0.8,random8,8x8,0.9966666666666668,8,0.19666666666666677,0.874,1000.0,Random 8x8 long
q_learning,Q-learning,0.8,4,p0.80_m4,0,10000,0.54,random8,8x8,1.0,10,0.45999999999999996,0.1775,,Random 8x8 long
sarsa,SARSA,0.8,2,p0.80_m2,0,10000,0.5,random8,8x8,0.94,9,0.43999999999999995,0.0605,,Random 8x8 long
dyna_q,Dyna-Q,0.95,3,p0.95_m3,0,10000,0.94,random8,8x8,1.0,5,0.06000000000000005,0.7765,1000.0,Random 8x8 long
sarsa,SARSA,0.85,4,p0.85_m4,0,10000,0.98,random8,8x8,1.0,7,0.020000000000000018,0.3745,7000.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.85,4,p0.85_m4,0,10000,0.96,random8,8x8,1.0,7,0.040000000000000036,0.788,2500.0,Random 8x8 long
q_lambda,Q(lambda),0.9,4,p0.90_m4,0,10000,0.94,random8,8x8,1.0,6,0.06000000000000005,0.5815,5000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.9,4,p0.90_m4,0,10000,1.0,random8,8x8,1.0,6,0.0,0.957,1000.0,Random 8x8 long
dyna_q,Dyna-Q,0.9,4,p0.90_m4,0,10000,0.98,random8,8x8,1.0,6,0.020000000000000018,0.8315,1000.0,Random 8x8 long
q_learning,Q-learning,0.95,0,p0.95_m0,0,10000,0.9,random8,8x8,1.0,6,0.09999999999999998,0.5925,5500.0,Random 8x8 long
sarsa,SARSA,0.95,0,p0.95_m0,0,10000,0.86,random8,8x8,1.0,6,0.14,0.4495,9000.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.95,0,p0.95_m0,0,10000,1.0,random8,8x8,1.0,6,0.0,0.703,4000.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.95,0,p0.95_m0,0,10000,0.92,random8,8x8,1.0,6,0.07999999999999996,0.782,1000.0,Random 8x8 long
q_lambda,Q(lambda),0.95,0,p0.95_m0,0,10000,0.92,random8,8x8,1.0,6,0.07999999999999996,0.57,6000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.95,0,p0.95_m0,0,10000,1.0,random8,8x8,1.0,6,0.0,0.957,1000.0,Random 8x8 long
dyna_q,Dyna-Q,0.95,0,p0.95_m0,0,10000,0.88,random8,8x8,1.0,6,0.12,0.775,1000.0,Random 8x8 long
q_learning,Q-learning,0.95,1,p0.95_m1,0,10000,1.0,random8,8x8,0.9733333333333334,6,-0.026666666666666616,0.731,4000.0,Random 8x8 long
sarsa,SARSA,0.95,1,p0.95_m1,0,10000,0.92,random8,8x8,0.9733333333333334,6,0.053333333333333344,0.611,4500.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.95,1,p0.95_m1,0,10000,0.98,random8,8x8,0.9733333333333334,6,-0.006666666666666599,0.6175,6000.0,Random 8x8 long
