algorithm,display_algorithm,mean_final_success,std_final_success,n_maps
optimistic_q,Optimistic Q,0.2353846153846154,0.3265888185628167,13
sarsa_lambda,SARSA(lambda),0.14307692307692307,0.31692229897838303,13
expected_sarsa,Expected SARSA,0.13538461538461538,0.3306966229193404,13
q_learning,Q-learning,0.13384615384615384,0.3287739461884224,13
q_lambda,Q(lambda),0.12846153846153846,0.31363051918476076,13
sarsa,SARSA,0.11307692307692307,0.27602489668459906,13
dyna_q,Dyna-Q,0.07153846153846154,0.21149649933454984,13
