condition,title,family,alpha,is_slippery,n_seeds,mean_final_eval_success,std_final_eval_success,mean_best_eval_success,std_best_eval_success,mean_reward,std_reward,mean_convergence_episode,std_convergence_episode
exp1,Exp1 Deterministic Baseline,baseline,0.1,False,5,1.0,0.0,1.0,0.0,0.9607600000000002,0.008406806765948644,500.0,0.0
exp2,Exp2 Stochastic Baseline,baseline,0.1,True,5,0.658,0.08399999999999999,0.7619999999999999,0.011661903789690611,0.4614599999999999,0.1395796346176619,6000.0,2880.972058177587
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,0.01,True,5,0.062,0.009797958971132711,0.10200000000000001,0.02039607805437114,0.055859999999999986,0.012839408086045088,,
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,0.1,True,5,0.658,0.08399999999999999,0.7619999999999999,0.011661903789690611,0.4614599999999999,0.1395796346176619,6000.0,2880.972058177587
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,0.5,True,5,0.696,0.01200000000000001,0.782,0.00979795897113272,0.5826,0.008128222437901171,1000.0,632.4555320336759
