episode,reward,steps,epsilon,alpha,is_slippery,seed,backend
104,0.0,7,0.5967292370047992,0.1,True,2,native
105,0.0,9,0.5937455908197752,0.1,True,2,native
106,0.0,44,0.5907768628656763,0.1,True,2,native
107,0.0,9,0.5878229785513479,0.1,True,2,native
108,0.0,4,0.5848838636585911,0.1,True,2,native
109,0.0,16,0.5819594443402982,0.1,True,2,native
110,0.0,10,0.5790496471185967,0.1,True,2,native
111,0.0,8,0.5761543988830038,0.1,True,2,native
112,0.0,10,0.5732736268885887,0.1,True,2,native
113,0.0,9,0.5704072587541458,0.1,True,2,native
114,0.0,10,0.567555222460375,0.1,True,2,native
115,0.0,11,0.5647174463480732,0.1,True,2,native
116,0.0,2,0.5618938591163328,0.1,True,2,native
117,0.0,14,0.5590843898207511,0.1,True,2,native
118,0.0,16,0.5562889678716474,0.1,True,2,native
119,0.0,4,0.5535075230322891,0.1,True,2,native
120,0.0,17,0.5507399854171277,0.1,True,2,native
121,0.0,20,0.547986285490042,0.1,True,2,native
122,0.0,7,0.5452463540625918,0.1,True,2,native
123,0.0,3,0.5425201222922789,0.1,True,2,native
124,0.0,7,0.5398075216808175,0.1,True,2,native
125,0.0,14,0.5371084840724134,0.1,True,2,native
126,0.0,7,0.5344229416520513,0.1,True,2,native
127,0.0,17,0.531750826943791,0.1,True,2,native
128,0.0,3,0.5290920728090721,0.1,True,2,native
129,0.0,9,0.5264466124450268,0.1,True,2,native
130,0.0,11,0.5238143793828016,0.1,True,2,native
131,0.0,10,0.5211953074858876,0.1,True,2,native
132,0.0,11,0.5185893309484582,0.1,True,2,native
133,0.0,4,0.5159963842937159,0.1,True,2,native
134,0.0,11,0.5134164023722473,0.1,True,2,native
135,0.0,12,0.510849320360386,0.1,True,2,native
136,0.0,5,0.5082950737585841,0.1,True,2,native
137,0.0,16,0.5057535983897912,0.1,True,2,native
138,0.0,7,0.5032248303978422,0.1,True,2,native
139,0.0,2,0.500708706245853,0.1,True,2,native
140,0.0,2,0.4982051627146237,0.1,True,2,native
141,0.0,10,0.49571413690105054,0.1,True,2,native
142,0.0,2,0.4932355662165453,0.1,True,2,native
143,0.0,31,0.4907693883854626,0.1,True,2,native
144,0.0,34,0.4883155414435353,0.1,True,2,native
145,0.0,12,0.4858739637363176,0.1,True,2,native
146,0.0,10,0.483444593917636,0.1,True,2,native
147,0.0,21,0.4810273709480478,0.1,True,2,native
148,0.0,10,0.47862223409330756,0.1,True,2,native
