episode,reward,steps,epsilon,alpha,is_slippery,seed,backend
145,0.0,6,0.0,0.1,True,2,native
146,0.0,13,0.0,0.1,True,2,native
147,0.0,2,0.0,0.1,True,2,native
148,0.0,3,0.0,0.1,True,2,native
149,0.0,10,0.0,0.1,True,2,native
150,0.0,5,0.0,0.1,True,2,native
151,0.0,4,0.0,0.1,True,2,native
152,0.0,4,0.0,0.1,True,2,native
153,0.0,12,0.0,0.1,True,2,native
154,0.0,10,0.0,0.1,True,2,native
155,0.0,10,0.0,0.1,True,2,native
156,0.0,15,0.0,0.1,True,2,native
157,0.0,11,0.0,0.1,True,2,native
158,0.0,5,0.0,0.1,True,2,native
159,0.0,5,0.0,0.1,True,2,native
160,0.0,2,0.0,0.1,True,2,native
161,0.0,7,0.0,0.1,True,2,native
162,0.0,4,0.0,0.1,True,2,native
163,0.0,13,0.0,0.1,True,2,native
164,0.0,15,0.0,0.1,True,2,native
165,0.0,19,0.0,0.1,True,2,native
166,0.0,5,0.0,0.1,True,2,native
167,0.0,3,0.0,0.1,True,2,native
168,0.0,2,0.0,0.1,True,2,native
169,0.0,5,0.0,0.1,True,2,native
170,0.0,2,0.0,0.1,True,2,native
171,0.0,15,0.0,0.1,True,2,native
172,0.0,16,0.0,0.1,True,2,native
173,0.0,3,0.0,0.1,True,2,native
174,0.0,3,0.0,0.1,True,2,native
175,0.0,10,0.0,0.1,True,2,native
176,0.0,14,0.0,0.1,True,2,native
177,0.0,7,0.0,0.1,True,2,native
178,0.0,10,0.0,0.1,True,2,native
179,0.0,2,0.0,0.1,True,2,native
180,0.0,16,0.0,0.1,True,2,native
181,0.0,2,0.0,0.1,True,2,native
182,0.0,5,0.0,0.1,True,2,native
183,0.0,9,0.0,0.1,True,2,native
184,0.0,6,0.0,0.1,True,2,native
185,0.0,6,0.0,0.1,True,2,native
186,0.0,22,0.0,0.1,True,2,native
187,0.0,9,0.0,0.1,True,2,native
188,0.0,7,0.0,0.1,True,2,native
189,1.0,7,0.0,0.1,True,2,native
190,0.0,4,0.0,0.1,True,2,native
191,0.0,18,0.0,0.1,True,2,native
192,0.0,12,0.0,0.1,True,2,native
193,0.0,8,0.0,0.1,True,2,native
194,0.0,2,0.0,0.1,True,2,native
195,0.0,7,0.0,0.1,True,2,native
196,0.0,4,0.0,0.1,True,2,native
197,0.0,5,0.0,0.1,True,2,native
198,0.0,3,0.0,0.1,True,2,native
199,0.0,4,0.0,0.1,True,2,native
200,0.0,2,0.0,0.1,True,2,native
201,0.0,19,0.0,0.1,True,2,native
202,0.0,17,0.0,0.1,True,2,native
203,0.0,15,0.0,0.1,True,2,native
204,0.0,9,0.0,0.1,True,2,native
205,0.0,3,0.0,0.1,True,2,native
206,0.0,4,0.0,0.1,True,2,native
207,0.0,2,0.0,0.1,True,2,native
208,0.0,2,0.0,0.1,True,2,native
209,0.0,2,0.0,0.1,True,2,native
210,0.0,10,0.0,0.1,True,2,native
211,0.0,8,0.0,0.1,True,2,native
212,0.0,4,0.0,0.1,True,2,native
213,0.0,10,0.0,0.1,True,2,native
214,0.0,2,0.0,0.1,True,2,native
215,0.0,6,0.0,0.1,True,2,native
216,0.0,3,0.0,0.1,True,2,native
217,0.0,5,0.0,0.1,True,2,native
218,0.0,4,0.0,0.1,True,2,native
219,0.0,3,0.0,0.1,True,2,native
220,0.0,2,0.0,0.1,True,2,native
221,0.0,7,0.0,0.1,True,2,native
222,0.0,11,0.0,0.1,True,2,native
223,0.0,6,0.0,0.1,True,2,native
224,0.0,4,0.0,0.1,True,2,native
225,0.0,2,0.0,0.1,True,2,native
226,0.0,3,0.0,0.1,True,2,native
227,0.0,7,0.0,0.1,True,2,native
228,0.0,7,0.0,0.1,True,2,native
229,0.0,31,0.0,0.1,True,2,native
230,0.0,11,0.0,0.1,True,2,native
231,0.0,9,0.0,0.1,True,2,native
232,0.0,2,0.0,0.1,True,2,native
233,0.0,7,0.0,0.1,True,2,native
234,0.0,8,0.0,0.1,True,2,native
235,0.0,5,0.0,0.1,True,2,native
236,0.0,5,0.0,0.1,True,2,native
237,0.0,4,0.0,0.1,True,2,native
238,0.0,5,0.0,0.1,True,2,native
239,0.0,4,0.0,0.1,True,2,native
240,0.0,7,0.0,0.1,True,2,native
241,0.0,3,0.0,0.1,True,2,native
242,0.0,2,0.0,0.1,True,2,native
243,0.0,4,0.0,0.1,True,2,native
244,0.0,8,0.0,0.1,True,2,native
245,0.0,7,0.0,0.1,True,2,native
246,0.0,3,0.0,0.1,True,2,native
247,0.0,8,0.0,0.1,True,2,native
248,0.0,2,0.0,0.1,True,2,native
249,0.0,2,0.0,0.1,True,2,native
250,0.0,4,0.0,0.1,True,2,native
251,0.0,5,0.0,0.1,True,2,native
252,0.0,4,0.0,0.1,True,2,native
253,0.0,3,0.0,0.1,True,2,native
254,0.0,2,0.0,0.1,True,2,native
255,0.0,5,0.0,0.1,True,2,native
256,0.0,3,0.0,0.1,True,2,native
257,0.0,3,0.0,0.1,True,2,native
258,0.0,6,0.0,0.1,True,2,native
259,0.0,26,0.0,0.1,True,2,native
260,0.0,15,0.0,0.1,True,2,native
261,0.0,2,0.0,0.1,True,2,native
262,0.0,26,0.0,0.1,True,2,native
263,0.0,3,0.0,0.1,True,2,native
264,0.0,8,0.0,0.1,True,2,native
265,0.0,21,0.0,0.1,True,2,native
266,0.0,10,0.0,0.1,True,2,native
267,0.0,6,0.0,0.1,True,2,native
268,0.0,2,0.0,0.1,True,2,native
269,0.0,3,0.0,0.1,True,2,native
270,0.0,3,0.0,0.1,True,2,native
271,0.0,2,0.0,0.1,True,2,native
272,0.0,11,0.0,0.1,True,2,native
273,0.0,4,0.0,0.1,True,2,native
274,0.0,12,0.0,0.1,True,2,native
275,0.0,8,0.0,0.1,True,2,native
276,0.0,2,0.0,0.1,True,2,native
277,0.0,6,0.0,0.1,True,2,native
278,0.0,2,0.0,0.1,True,2,native
279,0.0,2,0.0,0.1,True,2,native
280,0.0,8,0.0,0.1,True,2,native
281,0.0,6,0.0,0.1,True,2,native
282,0.0,3,0.0,0.1,True,2,native
283,0.0,11,0.0,0.1,True,2,native
284,0.0,3,0.0,0.1,True,2,native
285,0.0,14,0.0,0.1,True,2,native
286,0.0,6,0.0,0.1,True,2,native
287,0.0,9,0.0,0.1,True,2,native
288,0.0,13,0.0,0.1,True,2,native
289,0.0,8,0.0,0.1,True,2,native
290,0.0,2,0.0,0.1,True,2,native
291,0.0,5,0.0,0.1,True,2,native
292,0.0,12,0.0,0.1,True,2,native
293,0.0,4,0.0,0.1,True,2,native
294,0.0,5,0.0,0.1,True,2,native
295,0.0,10,0.0,0.1,True,2,native
296,0.0,3,0.0,0.1,True,2,native
297,0.0,2,0.0,0.1,True,2,native
298,0.0,16,0.0,0.1,True,2,native
299,0.0,2,0.0,0.1,True,2,native
300,0.0,6,0.0,0.1,True,2,native
301,0.0,5,0.0,0.1,True,2,native
302,0.0,6,0.0,0.1,True,2,native
303,0.0,5,0.0,0.1,True,2,native
304,0.0,15,0.0,0.1,True,2,native
305,0.0,11,0.0,0.1,True,2,native
306,0.0,2,0.0,0.1,True,2,native
