algorithm,best_value,alpha,gamma,epsilon_start,epsilon_min,epsilon_decay,lambda,n_step
q_learning,0.51,0.3317956298787435,0.9456864568630403,0.8244233410291644,0.0017240460099242293,0.9962712260090097,0.3075149655567848,8
expected_sarsa,0.52,0.4978795271991344,0.9954026132896019,0.5067532150606222,0.03832216850492789,0.9951831702135785,0.6260334208204492,8
double_q,0.01,0.3317956298787435,0.9456864568630403,0.8244233410291644,0.0017240460099242293,0.9962712260090097,0.3075149655567848,8
dyna_q,0.395,0.21264488647268934,0.9059623216912978,0.7334133723565341,0.021941976179005764,0.9920617490985236,0.29669472324114,4
ucb_q,0.41,0.4978795271991344,0.9954026132896019,0.5067532150606222,0.03832216850492789,0.9951831702135785,0.6260334208204492,8
sarsa_lambda,0.51,0.3317956298787435,0.9456864568630403,0.8244233410291644,0.0017240460099242293,0.9962712260090097,0.3075149655567848,8
