algorithm,display_algorithm,mean_final_success,std_final_success,mean_auc,mean_oracle_gap,mean_first_episode_ge_0p8,n
optimistic_q,Optimistic Q,0.9879999999999999,0.022849622823099183,0.9375249999999999,0.0016666666666666663,875.0,20
expected_sarsa,Expected SARSA,0.9019999999999999,0.12241430944907843,0.620725,0.08766666666666667,4684.210526315789,20
sarsa,SARSA,0.8949999999999999,0.12172012764405156,0.61405,0.09466666666666668,4194.444444444444,20
q_learning,Q-learning,0.8789999999999999,0.17320204204460482,0.6745,0.11066666666666666,3555.5555555555557,20
q_lambda,Q(lambda),0.873,0.1982316560836947,0.6641,0.11666666666666665,4000.0,20
dyna_q,Dyna-Q,0.8699999999999999,0.17465755969294525,0.8084250000000001,0.11966666666666667,1175.0,20
sarsa_lambda,SARSA(lambda),0.783,0.2540016576821167,0.72455,0.20666666666666664,2473.684210526316,20
