episode,reward,steps,epsilon,alpha,is_slippery,seed,backend
1,0.0,8,1.0,0.01,True,4,native
2,0.0,6,0.995,0.01,True,4,native
3,0.0,2,0.990025,0.01,True,4,native
4,0.0,9,0.985074875,0.01,True,4,native
5,0.0,10,0.9801495006250001,0.01,True,4,native
6,0.0,15,0.9752487531218751,0.01,True,4,native
7,0.0,9,0.9703725093562657,0.01,True,4,native
8,0.0,3,0.9655206468094844,0.01,True,4,native
9,0.0,6,0.960693043575437,0.01,True,4,native
10,0.0,18,0.9558895783575597,0.01,True,4,native
11,0.0,5,0.9511101304657719,0.01,True,4,native
12,0.0,5,0.946354579813443,0.01,True,4,native
13,0.0,3,0.9416228069143757,0.01,True,4,native
14,0.0,2,0.9369146928798039,0.01,True,4,native
15,0.0,5,0.9322301194154049,0.01,True,4,native
16,0.0,15,0.9275689688183278,0.01,True,4,native
17,0.0,14,0.9229311239742362,0.01,True,4,native
18,0.0,7,0.918316468354365,0.01,True,4,native
19,0.0,6,0.9137248860125932,0.01,True,4,native
20,0.0,8,0.9091562615825302,0.01,True,4,native
21,0.0,6,0.9046104802746175,0.01,True,4,native
22,0.0,10,0.9000874278732445,0.01,True,4,native
23,0.0,2,0.8955869907338783,0.01,True,4,native
24,0.0,5,0.8911090557802088,0.01,True,4,native
25,0.0,11,0.8866535105013078,0.01,True,4,native
26,0.0,2,0.8822202429488013,0.01,True,4,native
27,0.0,21,0.8778091417340573,0.01,True,4,native
28,0.0,5,0.8734200960253871,0.01,True,4,native
29,0.0,5,0.8690529955452602,0.01,True,4,native
30,0.0,6,0.8647077305675338,0.01,True,4,native
31,0.0,11,0.8603841919146962,0.01,True,4,native
32,0.0,11,0.8560822709551227,0.01,True,4,native
33,0.0,17,0.851801859600347,0.01,True,4,native
34,0.0,15,0.8475428503023453,0.01,True,4,native
35,0.0,12,0.8433051360508336,0.01,True,4,native
36,0.0,3,0.8390886103705794,0.01,True,4,native
37,0.0,6,0.8348931673187264,0.01,True,4,native
38,0.0,12,0.8307187014821328,0.01,True,4,native
39,0.0,4,0.8265651079747222,0.01,True,4,native
40,0.0,8,0.8224322824348486,0.01,True,4,native
41,0.0,2,0.8183201210226743,0.01,True,4,native
42,0.0,4,0.8142285204175609,0.01,True,4,native
43,0.0,2,0.810157377815473,0.01,True,4,native
44,0.0,5,0.8061065909263957,0.01,True,4,native
45,0.0,22,0.8020760579717637,0.01,True,4,native
46,0.0,14,0.798065677681905,0.01,True,4,native
47,0.0,6,0.7940753492934954,0.01,True,4,native
48,0.0,18,0.7901049725470279,0.01,True,4,native
49,0.0,9,0.7861544476842928,0.01,True,4,native
50,0.0,6,0.7822236754458713,0.01,True,4,native
51,0.0,2,0.778312557068642,0.01,True,4,native
52,0.0,12,0.7744209942832988,0.01,True,4,native
53,0.0,6,0.7705488893118823,0.01,True,4,native
54,0.0,5,0.7666961448653229,0.01,True,4,native
55,0.0,4,0.7628626641409962,0.01,True,4,native
56,0.0,16,0.7590483508202912,0.01,True,4,native
57,0.0,22,0.7552531090661897,0.01,True,4,native
58,0.0,9,0.7514768435208588,0.01,True,4,native
59,0.0,7,0.7477194593032545,0.01,True,4,native
60,0.0,2,0.7439808620067382,0.01,True,4,native
61,0.0,5,0.7402609576967045,0.01,True,4,native
62,0.0,9,0.736559652908221,0.01,True,4,native
63,0.0,4,0.7328768546436799,0.01,True,4,native
64,0.0,9,0.7292124703704616,0.01,True,4,native
65,0.0,6,0.7255664080186093,0.01,True,4,native
66,0.0,18,0.7219385759785162,0.01,True,4,native
67,0.0,2,0.7183288830986236,0.01,True,4,native
68,0.0,3,0.7147372386831305,0.01,True,4,native
69,0.0,3,0.7111635524897149,0.01,True,4,native
70,0.0,3,0.7076077347272662,0.01,True,4,native
71,0.0,7,0.7040696960536299,0.01,True,4,native
72,0.0,2,0.7005493475733617,0.01,True,4,native
73,0.0,4,0.697046600835495,0.01,True,4,native
74,0.0,7,0.6935613678313175,0.01,True,4,native
75,0.0,5,0.6900935609921609,0.01,True,4,native
76,0.0,10,0.6866430931872001,0.01,True,4,native
77,0.0,8,0.6832098777212641,0.01,True,4,native
78,0.0,13,0.6797938283326578,0.01,True,4,native
79,0.0,7,0.6763948591909945,0.01,True,4,native
80,0.0,11,0.6730128848950395,0.01,True,4,native
81,0.0,8,0.6696478204705644,0.01,True,4,native
82,0.0,8,0.6662995813682115,0.01,True,4,native
83,0.0,2,0.6629680834613705,0.01,True,4,native
84,0.0,3,0.6596532430440636,0.01,True,4,native
85,0.0,5,0.6563549768288433,0.01,True,4,native
86,0.0,14,0.653073201944699,0.01,True,4,native
87,0.0,3,0.6498078359349755,0.01,True,4,native
88,0.0,4,0.6465587967553006,0.01,True,4,native
89,0.0,5,0.6433260027715241,0.01,True,4,native
90,0.0,11,0.6401093727576664,0.01,True,4,native
91,0.0,6,0.6369088258938781,0.01,True,4,native
92,0.0,9,0.6337242817644086,0.01,True,4,native
93,0.0,7,0.6305556603555866,0.01,True,4,native
94,0.0,6,0.6274028820538087,0.01,True,4,native
95,0.0,4,0.6242658676435396,0.01,True,4,native
96,0.0,4,0.6211445383053219,0.01,True,4,native
97,0.0,16,0.6180388156137953,0.01,True,4,native
98,0.0,7,0.6149486215357263,0.01,True,4,native
99,0.0,8,0.6118738784280476,0.01,True,4,native
100,0.0,5,0.6088145090359074,0.01,True,4,native
101,0.0,4,0.6057704364907278,0.01,True,4,native
102,0.0,16,0.6027415843082742,0.01,True,4,native
103,0.0,7,0.5997278763867329,0.01,True,4,native
104,0.0,2,0.5967292370047992,0.01,True,4,native
105,0.0,6,0.5937455908197752,0.01,True,4,native
106,0.0,3,0.5907768628656763,0.01,True,4,native
107,0.0,3,0.5878229785513479,0.01,True,4,native
108,0.0,2,0.5848838636585911,0.01,True,4,native
109,0.0,26,0.5819594443402982,0.01,True,4,native
110,0.0,5,0.5790496471185967,0.01,True,4,native
111,0.0,5,0.5761543988830038,0.01,True,4,native
112,0.0,7,0.5732736268885887,0.01,True,4,native
113,0.0,9,0.5704072587541458,0.01,True,4,native
114,0.0,5,0.567555222460375,0.01,True,4,native
115,0.0,5,0.5647174463480732,0.01,True,4,native
116,0.0,11,0.5618938591163328,0.01,True,4,native
117,0.0,3,0.5590843898207511,0.01,True,4,native
118,0.0,7,0.5562889678716474,0.01,True,4,native
119,0.0,10,0.5535075230322891,0.01,True,4,native
120,0.0,9,0.5507399854171277,0.01,True,4,native
121,0.0,6,0.547986285490042,0.01,True,4,native
122,0.0,6,0.5452463540625918,0.01,True,4,native
123,0.0,4,0.5425201222922789,0.01,True,4,native
124,0.0,4,0.5398075216808175,0.01,True,4,native
125,0.0,4,0.5371084840724134,0.01,True,4,native
126,0.0,4,0.5344229416520513,0.01,True,4,native
127,0.0,5,0.531750826943791,0.01,True,4,native
128,0.0,7,0.5290920728090721,0.01,True,4,native
129,0.0,8,0.5264466124450268,0.01,True,4,native
130,0.0,4,0.5238143793828016,0.01,True,4,native
131,0.0,11,0.5211953074858876,0.01,True,4,native
132,0.0,2,0.5185893309484582,0.01,True,4,native
133,0.0,12,0.5159963842937159,0.01,True,4,native
134,0.0,19,0.5134164023722473,0.01,True,4,native
135,0.0,2,0.510849320360386,0.01,True,4,native
136,0.0,6,0.5082950737585841,0.01,True,4,native
137,0.0,3,0.5057535983897912,0.01,True,4,native
138,0.0,7,0.5032248303978422,0.01,True,4,native
139,0.0,10,0.500708706245853,0.01,True,4,native
140,0.0,6,0.4982051627146237,0.01,True,4,native
141,0.0,4,0.49571413690105054,0.01,True,4,native
142,0.0,8,0.4932355662165453,0.01,True,4,native
143,0.0,19,0.4907693883854626,0.01,True,4,native
144,0.0,14,0.4883155414435353,0.01,True,4,native
145,0.0,5,0.4858739637363176,0.01,True,4,native
146,0.0,8,0.483444593917636,0.01,True,4,native
147,0.0,9,0.4810273709480478,0.01,True,4,native
148,0.0,5,0.47862223409330756,0.01,True,4,native
149,0.0,8,0.47622912292284103,0.01,True,4,native
150,0.0,9,0.4738479773082268,0.01,True,4,native
151,0.0,11,0.47147873742168567,0.01,True,4,native
152,0.0,7,0.46912134373457726,0.01,True,4,native
153,0.0,3,0.46677573701590436,0.01,True,4,native
154,0.0,3,0.46444185833082485,0.01,True,4,native
155,0.0,3,0.46211964903917074,0.01,True,4,native
156,0.0,7,0.4598090507939749,0.01,True,4,native
157,0.0,5,0.457510005540005,0.01,True,4,native
158,0.0,3,0.45522245551230495,0.01,True,4,native
159,0.0,6,0.4529463432347434,0.01,True,4,native
160,0.0,6,0.4506816115185697,0.01,True,4,native
161,0.0,2,0.4484282034609769,0.01,True,4,native
162,0.0,7,0.446186062443672,0.01,True,4,native
163,0.0,4,0.4439551321314536,0.01,True,4,native
164,0.0,6,0.4417353564707963,0.01,True,4,native
165,0.0,2,0.43952667968844233,0.01,True,4,native
166,0.0,5,0.43732904629000013,0.01,True,4,native
167,0.0,8,0.4351424010585501,0.01,True,4,native
168,0.0,5,0.43296668905325736,0.01,True,4,native
169,0.0,13,0.43080185560799106,0.01,True,4,native
170,0.0,2,0.4286478463299511,0.01,True,4,native
171,0.0,6,0.42650460709830135,0.01,True,4,native
172,0.0,6,0.42437208406280985,0.01,True,4,native
173,0.0,3,0.4222502236424958,0.01,True,4,native
174,0.0,15,0.42013897252428334,0.01,True,4,native
175,0.0,3,0.4180382776616619,0.01,True,4,native
176,0.0,5,0.4159480862733536,0.01,True,4,native
177,0.0,3,0.41386834584198684,0.01,True,4,native
178,0.0,5,0.4117990041127769,0.01,True,4,native
179,0.0,13,0.40974000909221303,0.01,True,4,native
180,0.0,5,0.40769130904675194,0.01,True,4,native
181,0.0,5,0.40565285250151817,0.01,True,4,native
182,0.0,2,0.4036245882390106,0.01,True,4,native
183,0.0,9,0.4016064652978155,0.01,True,4,native
184,0.0,6,0.3995984329713264,0.01,True,4,native
185,0.0,12,0.3976004408064698,0.01,True,4,native
186,0.0,4,0.39561243860243744,0.01,True,4,native
187,0.0,6,0.3936343764094253,0.01,True,4,native
188,0.0,13,0.39166620452737816,0.01,True,4,native
189,0.0,2,0.3897078735047413,0.01,True,4,native
190,0.0,8,0.3877593341372176,0.01,True,4,native
191,0.0,2,0.3858205374665315,0.01,True,4,native
192,0.0,4,0.38389143477919885,0.01,True,4,native
193,0.0,6,0.3819719776053028,0.01,True,4,native
194,0.0,2,0.3800621177172763,0.01,True,4,native
195,0.0,5,0.37816180712868996,0.01,True,4,native
196,0.0,9,0.37627099809304654,0.01,True,4,native
197,0.0,3,0.3743896431025813,0.01,True,4,native
198,0.0,8,0.37251769488706843,0.01,True,4,native
199,0.0,8,0.3706551064126331,0.01,True,4,native
200,0.0,4,0.36880183088056995,0.01,True,4,native
201,0.0,4,0.3669578217261671,0.01,True,4,native
202,0.0,9,0.36512303261753626,0.01,True,4,native
203,0.0,5,0.3632974174544486,0.01,True,4,native
204,0.0,6,0.3614809303671764,0.01,True,4,native
205,0.0,6,0.3596735257153405,0.01,True,4,native
206,0.0,3,0.3578751580867638,0.01,True,4,native
207,0.0,2,0.35608578229633,0.01,True,4,native
208,0.0,6,0.3543053533848483,0.01,True,4,native
209,0.0,6,0.35253382661792404,0.01,True,4,native
210,0.0,6,0.3507711574848344,0.01,True,4,native
211,0.0,5,0.34901730169741024,0.01,True,4,native
212,0.0,2,0.3472722151889232,0.01,True,4,native
213,0.0,14,0.3455358541129786,0.01,True,4,native
214,0.0,3,0.3438081748424137,0.01,True,4,native
215,0.0,18,0.3420891339682016,0.01,True,4,native
216,0.0,2,0.3403786882983606,0.01,True,4,native
217,0.0,10,0.3386767948568688,0.01,True,4,native
218,0.0,21,0.33698341088258443,0.01,True,4,native
219,0.0,3,0.3352984938281715,0.01,True,4,native
220,0.0,2,0.33362200135903064,0.01,True,4,native
221,0.0,28,0.33195389135223546,0.01,True,4,native
222,0.0,17,0.3302941218954743,0.01,True,4,native
223,0.0,7,0.32864265128599696,0.01,True,4,native
224,0.0,9,0.326999438029567,0.01,True,4,native
225,0.0,3,0.3253644408394192,0.01,True,4,native
226,0.0,9,0.3237376186352221,0.01,True,4,native
227,0.0,4,0.322118930542046,0.01,True,4,native
228,0.0,12,0.32050833588933575,0.01,True,4,native
229,0.0,5,0.31890579420988907,0.01,True,4,native
230,1.0,9,0.3173112652388396,0.01,True,4,native
231,0.0,6,0.3157247089126454,0.01,True,4,native
232,0.0,9,0.3141460853680822,0.01,True,4,native
233,0.0,15,0.3125753549412418,0.01,True,4,native
234,0.0,3,0.31101247816653554,0.01,True,4,native
235,0.0,4,0.30945741577570285,0.01,True,4,native
236,0.0,5,0.3079101286968243,0.01,True,4,native
237,0.0,5,0.3063705780533402,0.01,True,4,native
238,0.0,14,0.30483872516307353,0.01,True,4,native
239,0.0,4,0.3033145315372582,0.01,True,4,native
240,0.0,5,0.3017979588795719,0.01,True,4,native
241,0.0,13,0.30028896908517405,0.01,True,4,native
242,0.0,18,0.2987875242397482,0.01,True,4,native
243,0.0,5,0.29729358661854943,0.01,True,4,native
244,0.0,26,0.29580711868545667,0.01,True,4,native
245,0.0,5,0.2943280830920294,0.01,True,4,native
246,0.0,2,0.29285644267656924,0.01,True,4,native
247,0.0,4,0.2913921604631864,0.01,True,4,native
248,0.0,9,0.28993519966087045,0.01,True,4,native
249,0.0,10,0.2884855236625661,0.01,True,4,native
250,0.0,2,0.28704309604425327,0.01,True,4,native
251,0.0,11,0.285607880564032,0.01,True,4,native
252,0.0,2,0.28417984116121187,0.01,True,4,native
253,0.0,3,0.2827589419554058,0.01,True,4,native
254,0.0,10,0.28134514724562876,0.01,True,4,native
255,0.0,2,0.2799384215094006,0.01,True,4,native
256,0.0,4,0.27853872940185365,0.01,True,4,native
257,0.0,2,0.27714603575484437,0.01,True,4,native
258,0.0,2,0.2757603055760701,0.01,True,4,native
259,0.0,11,0.2743815040481898,0.01,True,4,native
260,0.0,11,0.2730095965279488,0.01,True,4,native
261,0.0,7,0.27164454854530906,0.01,True,4,native
262,0.0,4,0.2702863258025825,0.01,True,4,native
263,0.0,3,0.2689348941735696,0.01,True,4,native
264,0.0,9,0.26759021970270175,0.01,True,4,native
265,0.0,4,0.2662522686041882,0.01,True,4,native
266,0.0,11,0.2649210072611673,0.01,True,4,native
267,0.0,5,0.26359640222486147,0.01,True,4,native
268,0.0,3,0.26227842021373715,0.01,True,4,native
269,0.0,10,0.2609670281126685,0.01,True,4,native
270,0.0,3,0.25966219297210513,0.01,True,4,native
271,0.0,7,0.2583638820072446,0.01,True,4,native
272,0.0,8,0.2570720625972084,0.01,True,4,native
273,0.0,8,0.25578670228422234,0.01,True,4,native
274,0.0,12,0.25450776877280124,0.01,True,4,native
275,0.0,5,0.2532352299289372,0.01,True,4,native
276,0.0,2,0.2519690537792925,0.01,True,4,native
277,0.0,2,0.2507092085103961,0.01,True,4,native
278,0.0,11,0.2494556624678441,0.01,True,4,native
279,0.0,8,0.24820838415550486,0.01,True,4,native
280,0.0,2,0.24696734223472733,0.01,True,4,native
281,0.0,6,0.2457325055235537,0.01,True,4,native
282,0.0,8,0.24450384299593592,0.01,True,4,native
283,0.0,7,0.24328132378095624,0.01,True,4,native
284,1.0,6,0.24206491716205145,0.01,True,4,native
285,0.0,6,0.2408545925762412,0.01,True,4,native
286,0.0,6,0.23965031961336,0.01,True,4,native
287,0.0,6,0.2384520680152932,0.01,True,4,native
288,0.0,5,0.23725980767521673,0.01,True,4,native
289,0.0,16,0.23607350863684065,0.01,True,4,native
290,0.0,7,0.23489314109365644,0.01,True,4,native
291,0.0,6,0.23371867538818816,0.01,True,4,native
292,0.0,4,0.23255008201124722,0.01,True,4,native
293,0.0,3,0.231387331601191,0.01,True,4,native
294,0.0,9,0.23023039494318503,0.01,True,4,native
295,0.0,13,0.2290792429684691,0.01,True,4,native
296,0.0,6,0.22793384675362674,0.01,True,4,native
297,0.0,8,0.22679417751985861,0.01,True,4,native
298,0.0,7,0.22566020663225933,0.01,True,4,native
299,0.0,9,0.22453190559909803,0.01,True,4,native
300,0.0,4,0.22340924607110255,0.01,True,4,native
301,0.0,15,0.22229219984074702,0.01,True,4,native
302,0.0,8,0.2211807388415433,0.01,True,4,native
303,0.0,7,0.22007483514733558,0.01,True,4,native
304,0.0,14,0.2189744609715989,0.01,True,4,native
305,0.0,4,0.2178795886667409,0.01,True,4,native
