episode,reward,steps,epsilon,alpha,is_slippery,seed,backend
1,0.0,6,1.0,0.5,True,1,native
2,0.0,9,0.995,0.5,True,1,native
3,0.0,2,0.990025,0.5,True,1,native
4,0.0,7,0.985074875,0.5,True,1,native
5,0.0,13,0.9801495006250001,0.5,True,1,native
6,0.0,11,0.9752487531218751,0.5,True,1,native
7,0.0,9,0.9703725093562657,0.5,True,1,native
8,0.0,3,0.9655206468094844,0.5,True,1,native
9,0.0,6,0.960693043575437,0.5,True,1,native
10,0.0,9,0.9558895783575597,0.5,True,1,native
11,0.0,2,0.9511101304657719,0.5,True,1,native
12,0.0,2,0.946354579813443,0.5,True,1,native
13,0.0,2,0.9416228069143757,0.5,True,1,native
14,0.0,6,0.9369146928798039,0.5,True,1,native
15,0.0,12,0.9322301194154049,0.5,True,1,native
16,0.0,11,0.9275689688183278,0.5,True,1,native
17,0.0,8,0.9229311239742362,0.5,True,1,native
18,0.0,7,0.918316468354365,0.5,True,1,native
19,0.0,13,0.9137248860125932,0.5,True,1,native
20,0.0,11,0.9091562615825302,0.5,True,1,native
21,0.0,10,0.9046104802746175,0.5,True,1,native
22,0.0,3,0.9000874278732445,0.5,True,1,native
23,0.0,6,0.8955869907338783,0.5,True,1,native
24,0.0,2,0.8911090557802088,0.5,True,1,native
25,0.0,13,0.8866535105013078,0.5,True,1,native
26,0.0,6,0.8822202429488013,0.5,True,1,native
27,1.0,21,0.8778091417340573,0.5,True,1,native
28,0.0,2,0.8734200960253871,0.5,True,1,native
29,0.0,9,0.8690529955452602,0.5,True,1,native
30,0.0,2,0.8647077305675338,0.5,True,1,native
31,0.0,10,0.8603841919146962,0.5,True,1,native
32,0.0,3,0.8560822709551227,0.5,True,1,native
33,0.0,4,0.851801859600347,0.5,True,1,native
34,0.0,5,0.8475428503023453,0.5,True,1,native
35,0.0,2,0.8433051360508336,0.5,True,1,native
36,0.0,10,0.8390886103705794,0.5,True,1,native
37,0.0,11,0.8348931673187264,0.5,True,1,native
38,0.0,3,0.8307187014821328,0.5,True,1,native
39,0.0,5,0.8265651079747222,0.5,True,1,native
40,0.0,3,0.8224322824348486,0.5,True,1,native
41,0.0,5,0.8183201210226743,0.5,True,1,native
42,0.0,2,0.8142285204175609,0.5,True,1,native
43,0.0,3,0.810157377815473,0.5,True,1,native
44,0.0,9,0.8061065909263957,0.5,True,1,native
45,0.0,5,0.8020760579717637,0.5,True,1,native
46,0.0,10,0.798065677681905,0.5,True,1,native
47,0.0,6,0.7940753492934954,0.5,True,1,native
48,0.0,9,0.7901049725470279,0.5,True,1,native
49,0.0,8,0.7861544476842928,0.5,True,1,native
50,0.0,8,0.7822236754458713,0.5,True,1,native
51,0.0,11,0.778312557068642,0.5,True,1,native
52,0.0,7,0.7744209942832988,0.5,True,1,native
53,0.0,2,0.7705488893118823,0.5,True,1,native
54,0.0,9,0.7666961448653229,0.5,True,1,native
55,0.0,9,0.7628626641409962,0.5,True,1,native
56,0.0,10,0.7590483508202912,0.5,True,1,native
57,0.0,27,0.7552531090661897,0.5,True,1,native
58,0.0,5,0.7514768435208588,0.5,True,1,native
59,0.0,11,0.7477194593032545,0.5,True,1,native
60,0.0,5,0.7439808620067382,0.5,True,1,native
61,0.0,17,0.7402609576967045,0.5,True,1,native
62,0.0,11,0.736559652908221,0.5,True,1,native
63,0.0,13,0.7328768546436799,0.5,True,1,native
64,0.0,4,0.7292124703704616,0.5,True,1,native
65,0.0,4,0.7255664080186093,0.5,True,1,native
66,0.0,3,0.7219385759785162,0.5,True,1,native
67,0.0,3,0.7183288830986236,0.5,True,1,native
68,0.0,12,0.7147372386831305,0.5,True,1,native
69,0.0,3,0.7111635524897149,0.5,True,1,native
70,0.0,18,0.7076077347272662,0.5,True,1,native
71,0.0,10,0.7040696960536299,0.5,True,1,native
72,0.0,18,0.7005493475733617,0.5,True,1,native
73,0.0,8,0.697046600835495,0.5,True,1,native
74,0.0,3,0.6935613678313175,0.5,True,1,native
75,0.0,11,0.6900935609921609,0.5,True,1,native
76,0.0,13,0.6866430931872001,0.5,True,1,native
77,0.0,7,0.6832098777212641,0.5,True,1,native
78,0.0,3,0.6797938283326578,0.5,True,1,native
79,0.0,10,0.6763948591909945,0.5,True,1,native
80,0.0,6,0.6730128848950395,0.5,True,1,native
81,0.0,2,0.6696478204705644,0.5,True,1,native
82,0.0,10,0.6662995813682115,0.5,True,1,native
83,0.0,5,0.6629680834613705,0.5,True,1,native
84,0.0,2,0.6596532430440636,0.5,True,1,native
85,0.0,11,0.6563549768288433,0.5,True,1,native
86,0.0,6,0.653073201944699,0.5,True,1,native
87,0.0,5,0.6498078359349755,0.5,True,1,native
88,0.0,16,0.6465587967553006,0.5,True,1,native
89,0.0,13,0.6433260027715241,0.5,True,1,native
90,0.0,20,0.6401093727576664,0.5,True,1,native
91,0.0,10,0.6369088258938781,0.5,True,1,native
92,0.0,5,0.6337242817644086,0.5,True,1,native
93,0.0,7,0.6305556603555866,0.5,True,1,native
94,0.0,5,0.6274028820538087,0.5,True,1,native
95,0.0,7,0.6242658676435396,0.5,True,1,native
